time,lat,lon,ele,hr,cadence,speed_mps,dist,dt,pace_sec_km
2025-09-01 18:30:00,0.0,3.282347579236703e-05,100.19795711047902,147,160,3.282347579236703,3.282347579236703,1.0,304.6599958900593
2025-09-01 18:30:01,0.0,6.374349825256844e-05,100.13937110799183,145,161,3.0920022460201406,3.0920022460201406,1.0,323.41503027274524
2025-09-01 18:30:02,0.0,9.70228612609671e-05,100.92644450100804,149,159,3.3279363008398657,3.3279363008398657,1.0,300.4865206547468
2025-09-01 18:30:03,0.0,0.0001329297302546,100.75349086067465,145,163,3.590686899370228,3.590686899370228,1.0,278.4982450503803
2025-09-01 18:30:04,0.0,0.0001635665315853,100.3348004658334,152,165,3.063680133068982,3.063680133068982,1.0,326.4048322819751
2025-09-01 18:30:05,0.0,0.0001942048641997,100.78269857495135,141,156,3.0638332614393904,3.0638332614393904,1.0,326.3885187832315
2025-09-01 18:30:06,0.0,0.0002302847281618,101.24533952130976,148,163,3.6079863962145247,3.6079863962145247,1.0,277.16290755674504
2025-09-01 18:30:07,0.0,0.0002639307398953,101.32966520511486,151,161,3.364601173346342,3.364601173346342,1.0,297.21204638510744
2025-09-01 18:30:08,0.0,0.0002938675063139,101.66784372895232,150,162,2.9936766418581464,2.9936766418581464,1.0,334.03741273115907
2025-09-01 18:30:09,0.0,0.0003268418580514,101.6490001685812,163,163,3.2974351737525835,3.2974351737525835,1.0,303.26600745935787
2025-09-01 18:30:10,0.0,0.0003567997586101,101.76593271908582,151,161,2.9957900558712174,2.9957900558712174,1.0,333.8017622563962
2025-09-01 18:30:11,0.0,0.000386752205017,102.3484281603678,145,161,2.9952446406820417,2.9952446406820417,1.0,333.86254545548303
2025-09-01 18:30:12,0.0,0.0004188292095296,102.66108732737854,149,161,3.207700451261091,3.207700451261091,1.0,311.749808061677
2025-09-01 18:30:13,0.0,0.0004444419685239,102.57645010821224,141,164,2.5612758994321037,2.5612758994321037,1.0,390.4304101802246
2025-09-01 18:30:14,0.0,0.000470621296785,103.2526313811753,149,163,2.6179328261136954,2.6179328261136954,1.0,381.9807712501522
2025-09-01 18:30:15,0.0,0.0005002899979864,102.07020369477956,145,162,2.966870120133476,2.966870120133476,1.0,337.05553647727965
2025-09-01 18:30:16,0.0,0.0005286085504448,103.09624035049052,154,158,2.831855245843603,2.831855245843603,1.0,353.12539419793063
2025-09-01 18:30:17,0.0,0.0005609098202924,102.24326080304516,147,160,3.230126984760674,3.230126984760674,1.0,309.5853521294587
2025-09-01 18:30:18,0.0,0.000589545757946,101.929714390659,149,164,2.863593765363891,2.863593765363891,1.0,349.2115439331266
2025-09-01 18:30:19,0.0,0.0006166703387526,101.90925562306148,146,162,2.712458080657829,2.712458080657829,1.0,368.6692919351877
2025-09-01 18:30:20,0.0,0.0006524302590003,101.83601528769738,158,163,3.5759920247730457,3.5759920247730457,1.0,279.6426818271403
2025-09-01 18:30:21,0.0,0.0006831173860702,102.33922080771066,148,167,3.0687127069887805,3.0687127069887805,1.0,325.8695405805077
2025-09-01 18:30:22,0.0,0.000714685908686,101.81030249840556,159,165,3.1568522615792807,3.1568522615792807,1.0,316.7712382902991
2025-09-01 18:30:23,0.0,0.0007417790841595,101.94068590714708,154,162,2.709317547347029,2.709317547347029,1.0,369.0966387381216
